tweet_date,account,ioc_type,ioc_value,type_of_attack,tweet_url,text,mb_status,mb_first_seen,mb_last_seen,signature,file_type,reporter,origin_country,first_report,time_difference,time_difference(sec),reference
2021-01-01 05:53:40+00:00,ReBensk,hash,3f54d9331db97a9e41acf56ab52f0c8a2702b4eca5233cb5e2056080fcf47cd4,['malware'],1.3448844755246162e+18,"#Android #Banking #Trojan #Malware
@malwrhunterteam @Spam404 @bl4ckh0l3z @JAMESWT_MHT 
Packer: Tencent
#Joker Trojan on Google Play:
https://t.co/V8FCMLWxnk
50,000+ Installs
""3f54d9331db97a9e41acf56ab52f0c8a2702b4eca5233cb5e2056080fcf47cd4""
From the Users Review: 👇 https://t.co/ieaVI9fCWa",Not Found,,,,,,,,,,
2021-01-01 08:20:02+00:00,HeliosCert,hash,a1131f1e5dcdd983fa79308ecd868165a133f56708fcb0a9e1723459b9136c3b,['malware'],1.3449213105022648e+18,"Sample submitted
2021-01-01 08:20:02
Dionaea Honeypot
Protocol: smbd  
Sources: ::ffff:190.51.226.76 
a1131f1e5dcdd983fa79308ecd868165a133f56708fcb0a9e1723459b9136c3b

#malware #cyber #security",Not Found,,,,,,,,,,
2021-01-01 08:56:21+00:00,ecarlesi,hash,a5bfc9e07964f8dddeb95fc584cd965d,['phishing'],1.344930451694076e+18,Threat on hxxps://check-payeeid[.]com/HSBC/idv[.]Log[.]php?ud=dashbrd&amp;idv[.]cmd=LOGIN&amp;accessU=a5bfc9e07964f8dddeb95fc584cd965d&amp;ID=HHNLK9GB4OWU9DTG3UX00JNVZPLWPTOTTE3DWYFBT26ALCZGUB #phishing,Not Found,,,,,,,,,,
2021-01-01 11:35:02+00:00,HeliosCert,hash,2ec0540b5f51d63864bda26ab5f54b1fed06eab5f42c60b7c4a14152ddb456bf,['malware'],1.3449703824204186e+18,"Sample submitted
2021-01-01 11:35:01
URL: https://t.co/8s6fFSWrYr 
2ec0540b5f51d63864bda26ab5f54b1fed06eab5f42c60b7c4a14152ddb456bf

#malware #cyber #security",Not Found,,,,,,,,,,
2021-01-01 12:45:16+00:00,ReBensk,hash,35cafdb930cf6cd24b65e5e639c3253c,['malware'],1.344988057074684e+18,"#Android #Banking #Trojan #Malware
@malwrhunterteam @Spam404 @bl4ckh0l3z @JAMESWT_MHT
#Joker Trojan on Google Play:
https://t.co/ryZjsBtoMi
""MD5:35cafdb930cf6cd24b65e5e639c3253c""
C2:http://at7kyxx4[.net/lacTrans
https://last2020.oss-ap-southeast-5[.aliyuncs.com/icelife.jpg https://t.co/43JwcLFWLi",Not Found,,,,,,,,,,
2021-01-01 18:50:02+00:00,HeliosCert,hash,c136b1467d669a725478a6110ebaaab3cb88a3d389dfa688e06173c066b76fcf,['malware'],1.3450798570808975e+18,"Sample submitted
2021-01-01 18:50:02
URL: https://t.co/kuuQQRVk1X 
c136b1467d669a725478a6110ebaaab3cb88a3d389dfa688e06173c066b76fcf

#malware #cyber #security",Not Found,,,,,,,,,,
2021-01-02 06:10:02+00:00,HeliosCert,hash,fa1a9195d8e056f60d6d46cb5fca7edfb19eec5cb2f0aa79739dc14a842db79e,['malware'],1.3452509815593452e+18,"Sample submitted
2021-01-02 06:10:01
Dionaea Honeypot
Protocol: smbd  
Sources: ::ffff:183.88.144.86 
fa1a9195d8e056f60d6d46cb5fca7edfb19eec5cb2f0aa79739dc14a842db79e

#malware #cyber #security",Malicious,2022-07-20 05:56:18,,WannaCry,dll,openctibr,,Twitter,"563 days, 23:46:16",48728776.0,
2021-01-02 06:50:02+00:00,HeliosCert,hash,da8591758cf7f86fd5bafacb7ce10c2f0b282aa8793227ab0381e13e1273b70f,['malware'],1.3452610499147323e+18,"Sample submitted
2021-01-02 06:50:02
Dionaea Honeypot
Protocol: smbd  
Sources: ::ffff:202.55.184.18 
da8591758cf7f86fd5bafacb7ce10c2f0b282aa8793227ab0381e13e1273b70f

#malware #cyber #security",Not Found,,,,,,,,,,
2021-01-02 07:20:40+00:00,ReBensk,hash,545360f94e9d827e1757e8d4768c3b652a55061216a2fe0894043e6850467eea,['malware'],1.345268756470145e+18,"#Android #Banking #Trojan #Malware
@malwrhunterteam @Spam404 @bl4ckh0l3z @JAMESWT_MHT
#Joker Trojan on Google Play:
https://t.co/8mnfw7bszr
50,000+ Installs
""545360f94e9d827e1757e8d4768c3b652a55061216a2fe0894043e6850467eea""
C2: http://47.241.106[.26/svhyqj/mjcxzy",Not Found,,,,,,,,,,
2021-01-02 08:26:44+00:00,ecarlesi,hash,6ea9ab1baa0efb9e19094440c317e21b,['phishing'],1.345285385635717e+18,Threat on hxxps://newquery-id[.]com/HSBC/idv[.]Log[.]php?ud=dashbrd&amp;idv[.]cmd=LOGIN&amp;accessU=6ea9ab1baa0efb9e19094440c317e21b&amp;ID=45LE2SI4PBX5L790ARORSWBEF900ZJGOURLID7VF3NBSK9EMJOFJC7OK0 #phishing,Not Found,,,,,,,,,,
