User Name,Number of Tweet,Number of Retweet,Average Length of Tweets,Standard Deviation of Length of Tweets,Average Number of Post Containing URLs,Number of Words Per Tweet,Number of Digits Per Tweet,Retweet Ratio,Hashtag Ratio,Mention Ratio,URL Ratio,Unique Mention Ratio,Unique Post Ratio,Mean of Like Count,Mean of Quote Count,Mean of Reply Count,Mean of Retweet Count,Number of Unique Source,Source Ratio,Number of Post Per Day,Tweet Similarity,Maximum Time Interval Between Post,Minimum Time Interval Between Post,Mean of Time Between Post,Standard Deviation of Time Interval Between Post,Idle Hours,Maximum Time Interval Between Retweets,Minimum Time Interval Between Retweets,Mean of Time Between Retweets,Standard Deviation of Time Interval Between Retweets,Maximum Time Interval Between Tweets,Minimum Time Interval Between Tweets,Mean of Time Between Tweets,Standard Deviation of Time Interval Between Tweets,Post Time Pattern,Followers Count,Following Count,Listed Count,Protected,Verified,Length of Description,Followers Ratio,Profile Image,Age of Account in Days,Listed Count Ratio,Reputation,Burstiness,Class
gAAAAABlHALRA9ZAB1t9q8PCVa1BOxfsUblkbbpDrD4J034AG_Lq1PGIisWNaVg4FreeTXQnsgtIr4wUnCCzXpLc6U8UcaVXOw==,0,2,0.0,0.0,0.0,45,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,19.5,1,0.0005081300813,1.0,0.0,5505969,5505969,5505969.0,0.0,1529.435833,5505969,5505969,5505969.0,0.0,0,0,0.0,0.0,0.0,777,4999,26,0,0,45,0.1554310862,1,4081,0.006370987503,0.1345221607,0.0,0
gAAAAABlHALRvi62aB_YoQsBMxlN3oam7wu8qz2LG2IOlXWCobHWaZ5ygrNrhT3s2zaMUtJHPxfSgqOB8H5rpJyWLQ0GnR_VTw==,0,1,0.0,0.0,0.0,27,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6380.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,36,462,0,0,0,116,0.07792207792,1,3164,0.0,0.07228915663,1.0,0
gAAAAABlHALRYmzZeLPbaLl4txESSHPIHjT7H24XlVldtFTFGl51MlsQX-nnfqE8cr4Xf5SIpcI6mOBzXK2h1nMeA8i03wNK7w==,0,1,0.0,0.0,0.0,21,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,23.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,126,240,1,0,0,0,0.525,1,3227,0.0003098853424,0.3442622951,1.0,0
gAAAAABlHALRSYHP8q9PC1V688indWSDP8c1vmhMWvpQK3JR4jRj_JsLzEHnQx6i9-p4YPEvDuR2KvpYV3f6BlnxpRp0lBJpXA==,0,1,0.0,0.0,0.0,24,6.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,33.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,203,503,6,0,0,0,0.4035785288,1,4867,0.001232792275,0.2875354108,1.0,0
gAAAAABlHALRzCBukltNJS_iDTe0FlAGP4ZmhHT7dZVxKUlEt6SYCk1XnLgvjAVxUmuqRY70KedfPTbQzJg8j3ehZ8tXR3bE5Q==,0,1,0.0,0.0,0.0,20,0.0,1.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,77.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,82,202,0,0,0,53,0.4059405941,1,3864,0.0,0.2887323944,1.0,1
gAAAAABlHALRR4uNynS6FXZhX9JyiFvYD8hfG5JSyhdgiTBc5D2pyqEbpvfEXKFnPH_q6GznN4JrCCkRk2nTyhmL0Bae2cWu4w==,1,0,166.0,0.0,0.0,28,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,724,2891,12,0,0,154,0.2504323763,1,3954,0.003034901366,0.2002766252,1.0,0
gAAAAABlHALRZ-1AOgGET68Ua3dCyiXQkJqks_N0HX23W9UsoVLkHxj_DZsbNvnXDe2uXv_KcOhOSbH2Hj25a7ZQxoL0TdkjyA==,0,1,0.0,0.0,0.0,20,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,46.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,278,866,0,0,0,153,0.3210161663,1,2497,0.0,0.243006993,1.0,0
gAAAAABlHALR1zM_6WhPVos0fllPjgz_BRjV0CTDvz2Pm5G3UfSJuJxSJGYclM3HDiZrqLJFwpnRwq-zRWKmULalMadOnn_C_Q==,0,3,0.0,0.0,0.3333333333,70,1.666666667,1.0,1.0,1.0,0.3333333333,0.3333333333,1.0,0.0,0.0,0.0,86.0,1,0.0005081300813,1.0,0.0,8717132,4668408,6692770.0,2862880.196,3718.205556,8717132,4668408,6692770.0,2862880.196,0,0,0.0,0.0,1.0,346,738,4,0,0,160,0.4688346883,1,1975,0.002025316456,0.3191881919,1.999998367,0
gAAAAABlHALRHYXG9wvQhoU_mgn3JPCe4Mp1T1pCULqdcpy_JzxLAifY56FKFE6XnlDsft-q1Pfr9tET7ZlrXvCI3Ir4s2hmHg==,0,1,0.0,0.0,0.0,27,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6380.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,67,903,6,0,0,42,0.07419712071,1,2683,0.002236302646,0.06907216495,1.0,0
gAAAAABlHALRARnzyT0Mt8N-NhauH0foXuHQmdtWIeDuir8rkiubCAPdaixOBM3qPtZ8Jaol19a_pJ5DAIdaBApy2GrqWHJKUA==,0,1,0.0,0.0,0.0,27,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6384.0,1,0.0005081300813,1.0,1.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,105,677,1,0,0,120,0.1550960118,1,3555,0.0002812939522,0.1342710997,1.0,0
